Model,Fee,Model Year,Kilometer,Fuel,Transmission Type,Accident ,Security hw,# of interior equipment ,# of exterior eq,Horse Power,Engine Capacity
0,768000,2022,64000,0,0,1,10,8,2,30.3,1.0
0,890000,2022,24000,0,0,0,8,6,3,9.4,1.0
0,865000,2022,50000,0,0,0,8,6,3,30.3,1.0
0,805000,2022,59000,0,0,2,8,7,5,30.3,1.0
0,810000,2022,107000,0,1,1,8,6,3,5.3,1.0
0,798000,2022,98000,0,0,1,8,6,3,30.3,1.0
0,719000,2023,32000,0,1,0,8,6,3,5.3,1.0
0,920000,2023,25000,0,0,0,8,6,3,30.3,1.0
0,697000,2023,48000,0,1,0,8,6,3,5.3,1.0
0,746000,2023,18000,0,1,0,8,6,3,5.3,1.0
0,985000,2023,17000,0,0,0,5,6,2,30.3,1.0
0,735000,2023,21000,0,1,0,9,10,3,5.3,1.0
0,935000,2023,22000,0,0,0,11,8,4,30.3,1.0
0,945000,2023,16000,0,0,0,8,6,3,30.3,1.0
0,995000,2023,39000,0,0,0,11,11,5,30.3,1.0
0,1025000,2023,6000,0,0,0,8,8,5,30.3,1.0
0,1015000,2023,12000,0,0,0,8,8,5,30.3,1.0
0,899000,2023,40000,0,0,2,10,8,3,30.3,1.0
0,776000,2023,6000,0,1,0,8,6,3,5.3,1.0
0,955000,2023,28000,0,0,0,8,8,5,30.3,1.0
0,945000,2023,7000,0,0,0,8,6,3,30.3,1.0
0,819000,2023,25000,0,1,1,8,8,3,30.3,1.0
0,845000,2023,17000,0,0,1,8,6,3,30.3,1.0
0,1010000,2023,44000,0,0,0,8,10,4,30.3,1.0
0,863000,2023,20000,0,0,1,8,6,3,30.3,1.0
0,933000,2023,28000,0,0,1,8,6,2,30.3,1.0
0,855000,2023,12000,0,1,0,9,8,5,30.3,1.0
0,1029000,2023,8000,0,0,0,11,11,3,30.3,1.0
0,899000,2023,27000,0,0,0,8,6,3,30.3,1.0
0,922000,2023,23000,0,0,0,8,6,3,30.3,1.0
0,894000,2023,18000,0,0,2,8,11,5,30.3,1.0
0,943000,2023,17000,0,0,0,8,6,3,30.3,1.0
0,941000,2023,23000,0,0,0,8,6,3,30.3,1.0
0,720000,2023,10000,0,1,1,8,6,3,5.3,1.0
0,970000,2023,13000,0,0,0,8,6,2,30.3,1.0
0,690000,2023,18000,0,1,0,8,6,3,5.3,1.0
0,1032000,2024,20000,0,0,0,10,13,4,30.3,1.0
0,1059000,2024,7000,0,0,0,8,10,4,30.3,1.0
0,1040000,2024,15000,0,0,0,10,11,4,30.3,1.0
0,1038000,2024,20000,0,0,0,10,11,4,30.3,1.0
0,1210000,2024,9000,0,0,0,9,11,4,30.3,1.0
0,1178000,2024,11000,0,0,0,8,11,4,30.3,1.0
0,1077000,2024,15000,0,0,0,10,11,4,30.3,1.0
0,1032000,2024,16000,0,0,0,8,11,4,30.3,1.0
0,1284000,2024,6000,0,0,0,8,11,4,30.3,1.0
0,1020000,2024,18000,0,0,0,8,10,4,30.3,1.0
0,1017000,2024,14000,0,0,0,8,10,4,30.3,1.0
0,1065000,2024,18000,0,0,0,8,10,4,30.3,1.0
0,1055000,2024,15000,0,0,0,8,10,4,30.3,1.0
0,1055000,2024,12000,0,0,0,8,10,4,30.3,1.0
0,1165000,2024,6000,0,0,0,8,11,4,30.3,1.0
0,925000,2024,9000,0,1,0,8,6,2,5.3,1.0
0,1225000,2024,8000,0,0,0,10,14,3,30.3,1.0
0,1035000,2024,6000,0,0,0,8,10,4,30.3,1.0
0,1080000,2024,18000,0,0,0,10,13,4,30.3,1.0
0,1045000,2024,20000,0,0,0,8,10,4,30.3,1.0
0,1165000,2024,6000,0,0,0,11,14,6,30.3,1.0
0,1019000,2024,21000,0,0,0,8,10,4,30.3,1.0
0,1115000,2024,19000,0,0,0,8,10,4,30.3,1.0
0,1230000,2024,6000,0,0,0,8,11,4,30.3,1.0
0,1175000,2024,28000,0,0,0,8,11,4,30.3,1.0
0,1160000,2024,6000,0,0,0,8,9,4,30.3,1.0
0,1150000,2024,12000,0,0,0,8,6,2,30.3,1.0
0,1420000,2024,6000,0,0,0,8,11,4,30.3,1.0
0,1040000,2024,19000,0,0,0,8,10,4,30.3,1.0
0,1080000,2024,14000,0,0,0,8,10,4,30.3,1.0
2,1110000,2024,17000,0,0,0,11,12,5,9.4,1.2
2,1039000,2024,16421,0,0,0,9,10,4,9.4,1.2
2,965000,2024,23500,0,1,0,11,14,5,15.3,1.2
2,975000,2024,6100,0,0,2,13,13,6,9.4,1.2
2,1075000,2024,19000,0,0,0,9,10,4,9.4,1.2
2,985000,2024,25000,0,0,2,9,10,4,9.4,1.2
2,945000,2024,6001,0,0,2,7,6,2,9.5,1.2
2,1220000,2024,6050,0,0,0,9,12,5,9.4,1.2
2,1325750,2024,6553,0,0,0,10,13,6,9.5,1.2
2,1295000,2024,13800,0,0,0,10,13,6,9.5,1.2
2,1117500,2024,8000,0,0,0,9,10,4,9.4,1.2
2,1215000,2024,6100,0,0,0,10,12,5,9.4,1.2
2,1035000,2024,19000,0,0,0,9,9,4,9.4,1.2
2,1074900,2024,14000,0,0,0,9,10,4,9.4,1.2
2,1139500,2024,10000,0,0,0,6,6,2,9.4,1.2
2,1125000,2024,6250,0,0,0,9,10,4,9.4,1.2
2,914500,2024,8000,0,0,1,10,10,2,9.4,1.2
2,1100000,2024,8100,0,0,0,12,11,6,9.4,1.2
2,1115000,2024,10000,0,0,0,9,10,4,9.4,1.2
2,1279000,2024,13000,0,0,0,10,13,6,9.5,1.2
2,965000,2024,25000,0,1,0,9,10,4,15.3,1.2
